Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2019,Música,"Titularitat privada",Festivals,5,"Festival Cara - B",15/2/2019,16/2/2019,,,"Fabra i Coats: Fàbrica de Creació","Assoc. Isla Elefante Projectes Culturals",
2019,Música,"Titularitat privada",Festivals,10,"Festival Cruïlla",3/7/2019,6/7/2019,62387,,"Parc del Fòrum","Barcelona Events Musicals SL",
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,14,"Festival d'estiu LLIMONADES",27/6/2019,19/7/2019,940,,"Diversos espais de la ciutat","Centre Cívic Pati Llimona",
2019,"Arts escèniques","Ajuntament de Barcelona",Festivals,15,"Festival Dansat",19/10/2019,27/10/2019,796,,"SAT! sant Andreu Teatre","saT! Sant Andreu Teatre",
2019,Música,"Titularitat privada",Festivals,17,"Festival de Blues de Barcelona",3/7/2019,13/7/2019,4000,,"Diversos espais de la ciutat","Assoc. Capibola Blues",
2019,Audiovisuals,"Titularitat privada",Festivals,10,"Festival de Cinema en Creative Commons de Barcelona. BccN",25/6/2019,29/6/2019,1500,,MACBA,"Assoc. Panorama 180",
2019,Audiovisuals,"Titularitat privada",Festivals,16,"Festival de Cinema i Drets Humans de Barcelona",14/11/2019,22/11/2019,,,"Diversos espais de la ciutat","Drets en acció",
2019,Audiovisuals,"Titularitat privada",Festivals,21,"Festival de Cinema Jueu de Barcelona",12/9/2019,30/9/2019,2300,,"Diversos espais de la ciutat","Assoc. Festival de Cinema Jueu a Barcelona",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,17,"Festival de Cultura Raval(s)",7/11/2019,8/11/2019,4750,,"Diversos espais de la ciutat","Fundació Tot Raval",
2019,Música,"Titularitat privada",Festivals,3,"Festival de Fado",5/10/2019,6/10/2019,2000,,"Sala Barts i Museu Marítim de Barcelona",.,
2019,Música,"Ajuntament de Barcelona",Festivals,24,"Festival de Música als Parcs",31/5/2019,30/8/2019,14200,,"Diversos espais de la ciutat","Ajuntament de Barcelona",
2019,"Arts escèniques","Titularitat privada",Festivals,10,"Festival de Titelles de Barcelona",11/3/2019,17/3/2019,6324,,"Poble Espanyol","PEMSA SAU",
2019,Lletres,"Titularitat privada",Festivals,12,"Festival del Llibre d'Artista i la Petita Edició",23/4/2019,27/4/2019,,,"Pati Llimona i Plaça Sant Just",ILDE,
2019,Música,"Titularitat privada",Festivals,20,"Festival del Mil·lenni",1/1/2019,23/5/2019,63190,,"Diversos espais de la ciutat","Concert Studio",
2019,Música,"Titularitat privada",Festivals,21,"Festival del Mil·lenni",5/10/2019,31/12/2019,50417,,"Diversos espais de la ciutat","Concert Studio",
2019,"Arts escèniques","Titularitat privada",Festivals,15,"Festival elPetit",9/11/2019,24/11/2019,2700,11300,"Diversos espais de la ciutat",Imaginart,
2019,Música,"Consorci o fundació amb presència administracions públiques",Festivals,3,"Festival Emergents Barcelona",17/3/2019,24/3/2019,6709,,L'Auditori,"Consorci de L'Auditori i l'Orquestra",
2019,Música,"Titularitat privada",Festivals,32,"Festival Folk Internacional Tradicionàrius",11/1/2019,12/4/2019,13567,,"CAT Centre Artesà Tradicionàrius","Assoc. Cultural TRAM",
2019,Audiovisuals,"Titularitat privada",Festivals,17,"Festival In-Edit",24/10/2019,3/11/2019,30000,4000,"Aribau Multicines","Inedit Producciones",
2019,Música,"Titularitat privada",Festivals,3,"Festival Inauditus",15/11/2019,21/12/2019,,,"Diversos espais de la ciutat",.,
2019,Audiovisuals,"Titularitat privada",Festivals,7,"Festival Inclús",26/11/2019,1/12/2019,2800,,"CaixaForum Barcelona","Assoc. Inclús",
2019,Música,"Titularitat privada",Festivals,54,"Festival Internacional de Cant Coral a Barcelona",8/7/2019,14/7/2019,3600,1500,"Església de Santa Maria del Pi i Palau de la Música Catalana","Federació Catalana d'Entitats Corals",
2019,Audiovisuals,"Titularitat privada",Festivals,3,"Festival Internacional de Cine de Barcelona - Sant Jordi",22/4/2019,30/4/2019,15000,,"Cinemes Verdi","ESPECTARAMA S.A.",
2019,Audiovisuals,"Titularitat privada",Festivals,9,"Festival Internacional de cine Nunes",10/12/2019,14/12/2019,,,,A.I.P.D.A.,
2019,Música,"Titularitat privada",Festivals,,"Festival Internacional de Guitarra ""Ferran Sor""",12/9/2019,17/9/2019,,,"Teatre Regina","Escola de Música Joan Llongueres",
2019,Música,"Titularitat privada",Festivals,7,"Festival Jardins de Pedralbes",5/6/2019,15/7/2019,71441,,"Jardins del Palau Reial de Pedralbes","Concert Studio",
2019,Música,"Titularitat privada",Festivals,29,"Festival l'Hora del Jazz. Memorial Tete Montoliu",8/9/2019,29/9/2019,4600,500,"Plaça de la Vila de Gràcia i Jamboree","Assoc. de Músics de Jazz i Música Moderna de Catalunya",
2019,Música,"Titularitat privada",Festivals,24,"Festival LEM",26/7/2019,26/10/2019,2406,,"Diversos espais de la ciutat","Gràcia Territori Sonor",
2019,Lletres,"Consorci o fundació amb presència administracions públiques",Festivals,3,"Festival Literatura en Trànsit",2/10/2019,5/10/2019,,,"Diversos espais de la ciutat","Biblioteques de Barcelona",
2019,Música,"Consorci o fundació amb presència administracions públiques",Festivals,1,"Festival Llums d'Antiga",5/2/2019,16/2/2019,1468,,"Diversos espais de la ciutat","Consorci de L'Auditori i l'Orquestra",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,7,"Festival Matsuri",8/6/2019,9/6/2019,23000,,"Moll de la Fusta","Asociación de Cultura Japonesa",
2019,Audiovisuals,Mixta,Festivals,25,"Festival Miniput",30/11/2019,30/11/2019,1500,,CCCB,"UPF, Blanquerna, UAB, Tecnocampus, TV3, betevé, CCCB",
