Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,5,"INFLUX Festival. Vídeo a Escena",11/10/2018,14/10/2018,115,,"Antic Teatre","Habitual Video Team",
2018,Música,"Titularitat privada",Festivals,5,"Jazzing Festival",26/9/2018,30/9/2018,25000,,"Diversos espais de la ciutat","Assoc. Sant Andreu Jazz Band i Dte. de Sant Andreu",
2018,"Arts visuals","Titularitat privada",Fires,10,Joya,4/10/2018,6/10/2018,6000,,"Disseny Hub Barcelona","Le Departement Interiors SL",
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,1,"Kronos Art BCN",18/10/2018,28/10/2018,1700,,"Arts Santa Mònica","Asociación Ant cultura y arte i ANT comunicación visual.mdp",
2018,Audiovisuals,"Titularitat privada",Festivals,25,"L'Alternativa. Festival de Cinema Independent de Barcelona",12/11/2018,18/11/2018,19000,,"Diversos espais de la ciutat","La Fàbrica de Cinema Alternatiu de Barcelona",
2018,"Arts escèniques","Titularitat privada",Festivals,4,"L'Altre Festival",16/6/2018,18/6/2018,,,"Fabra i Coats","Associació Socio Cultural L'Altre Festival",
2018,Audiovisuals,"Titularitat privada",Festivals,6,"La mida no importa. Festival Internacional de Curtmetratges al Raval",25/1/2018,27/1/2018,650,,"Ateneu del Raval i MACBA","Assoc. Slowcurt i Casal de Barri Folch i Torres",
2018,Música,"Titularitat privada",Festivals,8,"La Pedrera Jazz",8/6/2018,15/9/2018,7232,,"La Pedrera","Fundació Catalunya - La Pedrera",
2018,Audiovisuals,"Titularitat privada",Festivals,,"La Puttanesca",11/7/2018,2/9/2018,,,"Plaça Salvador Seguí","Assoc. Comerciants Fem Raval",
2018,Lletres,"Titularitat privada",Festivals,2,"La setmana de l'àlbum",2/11/2018,11/11/2018,2000,,"Diversos espais de la ciutat","Assoc. ¡Àlbum!",
2018,Música,"Titularitat privada",Festivals,5,"Lapsus Festival",6/4/2018,7/4/2018,1181,,"Diversos espais de la ciutat ","Lapsus Arts, SL",
2018,Lletres,"Titularitat privada",Fires,36,Liber,3/10/2018,5/10/2018,11000,,"Fira de Barcelona","Federació de Gremis d'Editors d'Espanya",
2018,Música,"Titularitat privada",Festivals,6,"LIED Festival Victoria de los Ángeles",25/9/2018,12/12/2018,3790,,"Diversos espais de la ciutat","Fund. Victoria de los Ángeles",
2018,Lletres,"Titularitat privada",Fires,4,Literal,11/5/2018,13/5/2018,10000,,"Diversos espais de la ciutat","Cultura 21 SCCL",
2018,Lletres,"Titularitat privada",Festivals,14,"Literaldia. L'Euskal Herria d'avui, en la literatura",6/4/2018,27/4/2018,,,"Diversos espais de la ciutat","Centre Cultural Euskal Etxea Barcelona",
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,7,"Llum BCN",16/2/2018,18/2/2018,170000,,"Diversos espais de Poblenou","Institut de Cultura. Ajuntament de Barcelona",
2018,"Arts visuals","Titularitat privada",Fires,16,"Loop Fair",12/11/2018,22/11/2018,5350,,"Diveros espais de la ciutat","Screen Projects S.L.",
2018,"Arts visuals","Titularitat privada",Festivals,16,"Loop Festival",12/11/2018,22/11/2018,120000,,"Diveros espais de la ciutat","Screen Projects S.L.",
